Photovoltaikenergieeinspeisung in Gesamt;;;;
2010 März;;;;
;;;;
Datum;Position;prognostiziert [MW];tatsächlich [MW];
;87;0;0;
;88;0;0;
;89;0;0;
;90;0;0;
;91;0;0;
;92;0;0;
;93;0;0;
;94;0;0;
;95;0;0;
;96;0;0;
2010-03-12;1;0;0;
;2;0;0;
;3;0;0;
;4;0;0;
;5;0;0;
;6;0;0;
;7;0;0;
;8;0;0;
;9;0;0;
;10;0;0;
;11;0;0;
;12;0;0;
;13;0;0;
;14;0;0;
;15;0;0;
;16;0;0;
;17;0;0;
;18;0;0;
;19;0;0;
;20;0;0;
;21;0;0;
;22;0;0;
;23;0;0;
;24;0;0;
;25;8;0;
;26;8;0;
;27;8;0;
;28;8;2;
;29;96;12;
;30;96;26;
;31;96;38;
;32;96;56;
;33;417;81;
;34;417;102;
;35;417;124;
;36;417;149;
;37;752;191;
;38;752;228;
;39;752;253;
;40;752;301;
;41;995;368;
;42;995;420;
;43;995;471;
;44;995;536;
;45;1118;579;
;46;1118;639;
;47;1118;692;
;48;1118;742;
;49;1114;750;
;50;1114;736;
;51;1114;770;
;52;1114;799;
;53;1006;743;
;54;1006;711;
;55;1006;730;
;56;1006;689;
;57;818;646;
;58;818;624;
;59;818;598;
;60;818;591;
;61;578;551;
;62;578;528;
;63;578;474;
;64;578;394;
;65;302;320;
;66;302;288;
;67;302;238;
;68;302;184;
;69;77;139;
;70;77;86;
;71;77;46;
;72;77;29;
;73;8;8;
;74;8;5;
;75;8;1;
;76;8;0;
;77;0;0;
;78;0;0;
;79;0;0;
;80;0;0;
;81;0;0;
;82;0;0;
;83;0;0;
;84;0;0;
;85;0;0;
;86;0;0;
;87;0;0;
;88;0;0;
;89;0;0;
;90;0;0;
;91;0;0;
;92;0;0;
;93;0;0;
;94;0;0;
;95;0;0;
;96;0;0;
2010-03-13;1;0;0;
;2;0;0;
;3;0;0;
;4;0;0;
;5;0;0;
;6;0;0;
;7;0;0;
;8;0;0;
;9;0;0;
;10;0;0;
;11;0;0;
;12;0;0;
;13;0;0;
;14;0;0;
;15;0;0;
;16;0;0;
;17;0;0;
;18;0;0;
;19;0;0;
;20;0;0;
;21;0;0;
;22;0;0;
;23;0;0;
;24;0;0;
;25;11;0;
;26;11;0;
;27;11;0;
;28;11;2;
;29;100;13;
;30;100;29;
;31;100;53;
;32;100;65;
;33;391;89;
;34;391;122;
;35;391;165;
;36;391;220;
;37;724;265;
;38;724;330;
;39;724;375;
;40;724;398;
;41;985;393;
;42;985;428;
;43;985;473;
;44;985;549;
;45;1144;598;
;46;1144;664;
;47;1144;641;
;48;1144;647;
;49;1215;680;
;50;1215;659;
;51;1215;607;
;52;1215;602;
;53;1178;660;
;54;1178;616;
;55;1178;588;
;56;1178;563;
;57;1010;514;
;58;1010;476;
;59;1010;437;
;60;1010;383;
;61;693;332;
;62;693;284;
;63;693;266;
;64;693;233;
;65;340;197;
;66;340;169;
;67;340;120;
;68;340;89;
;69;81;65;
;70;81;42;
